Artikelnummer,Attributname,Attributwert
DWDM-GBIC-32.68,FAQ,"Welche Datenrate überträgt DWDM-GBIC-32.68?||DWDM-GBIC-32.68 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-32.68?||DWDM-GBIC-32.68 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-32.68?||DWDM-GBIC-32.68 überbrückt 80 km bei 1532,68 nm (≈195,60 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-32.68 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-32.68: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-32.68?||DWDM-GBIC-32.68 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-32.68 eingesetzt?||DWDM-GBIC-32.68 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-32.68 mit Strom versorgt?||DWDM-GBIC-32.68 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-34.25,FAQ,"Welche Datenrate überträgt DWDM-GBIC-34.25?||DWDM-GBIC-34.25 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-34.25?||DWDM-GBIC-34.25 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-34.25?||DWDM-GBIC-34.25 überbrückt 80 km bei 1534,25 nm (≈195,40 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-34.25 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-34.25: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-34.25?||DWDM-GBIC-34.25 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-34.25 eingesetzt?||DWDM-GBIC-34.25 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-34.25 mit Strom versorgt?||DWDM-GBIC-34.25 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-35.04,FAQ,"Welche Datenrate überträgt DWDM-GBIC-35.04?||DWDM-GBIC-35.04 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-35.04?||DWDM-GBIC-35.04 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-35.04?||DWDM-GBIC-35.04 überbrückt 80 km bei 1535,04 nm (≈195,30 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-35.04 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-35.04: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-35.04?||DWDM-GBIC-35.04 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-35.04 eingesetzt?||DWDM-GBIC-35.04 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-35.04 mit Strom versorgt?||DWDM-GBIC-35.04 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-35.82,FAQ,"Welche Datenrate überträgt DWDM-GBIC-35.82?||DWDM-GBIC-35.82 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-35.82?||DWDM-GBIC-35.82 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-35.82?||DWDM-GBIC-35.82 überbrückt 80 km bei 1535,82 nm (≈195,20 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-35.82 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-35.82: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-35.82?||DWDM-GBIC-35.82 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-35.82 eingesetzt?||DWDM-GBIC-35.82 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-35.82 mit Strom versorgt?||DWDM-GBIC-35.82 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-36.61,FAQ,"Welche Datenrate überträgt DWDM-GBIC-36.61?||DWDM-GBIC-36.61 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-36.61?||DWDM-GBIC-36.61 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-36.61?||DWDM-GBIC-36.61 überbrückt 80 km bei 1536,61 nm (≈195,10 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-36.61 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-36.61: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-36.61?||DWDM-GBIC-36.61 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-36.61 eingesetzt?||DWDM-GBIC-36.61 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-36.61 mit Strom versorgt?||DWDM-GBIC-36.61 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-38.19,FAQ,"Welche Datenrate überträgt DWDM-GBIC-38.19?||DWDM-GBIC-38.19 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-38.19?||DWDM-GBIC-38.19 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-38.19?||DWDM-GBIC-38.19 überbrückt 80 km bei 1538,19 nm (≈194,90 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-38.19 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-38.19: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-38.19?||DWDM-GBIC-38.19 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-38.19 eingesetzt?||DWDM-GBIC-38.19 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-38.19 mit Strom versorgt?||DWDM-GBIC-38.19 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-38.98,FAQ,"Welche Datenrate überträgt DWDM-GBIC-38.98?||DWDM-GBIC-38.98 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-38.98?||DWDM-GBIC-38.98 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-38.98?||DWDM-GBIC-38.98 überbrückt 80 km bei 1538,98 nm (≈194,80 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-38.98 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-38.98: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-38.98?||DWDM-GBIC-38.98 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-38.98 eingesetzt?||DWDM-GBIC-38.98 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-38.98 mit Strom versorgt?||DWDM-GBIC-38.98 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-39.77,FAQ,"Welche Datenrate überträgt DWDM-GBIC-39.77?||DWDM-GBIC-39.77 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-39.77?||DWDM-GBIC-39.77 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-39.77?||DWDM-GBIC-39.77 überbrückt 80 km bei 1539,77 nm (≈194,70 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-39.77 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-39.77: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-39.77?||DWDM-GBIC-39.77 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-39.77 eingesetzt?||DWDM-GBIC-39.77 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-39.77 mit Strom versorgt?||DWDM-GBIC-39.77 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-40.56,FAQ,"Welche Datenrate überträgt DWDM-GBIC-40.56?||DWDM-GBIC-40.56 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-40.56?||DWDM-GBIC-40.56 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-40.56?||DWDM-GBIC-40.56 überbrückt 80 km bei 1540,56 nm (≈194,60 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-40.56 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-40.56: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-40.56?||DWDM-GBIC-40.56 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-40.56 eingesetzt?||DWDM-GBIC-40.56 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-40.56 mit Strom versorgt?||DWDM-GBIC-40.56 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-42.14,FAQ,"Welche Datenrate überträgt DWDM-GBIC-42.14?||DWDM-GBIC-42.14 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-42.14?||DWDM-GBIC-42.14 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-42.14?||DWDM-GBIC-42.14 überbrückt 80 km bei 1542,14 nm (≈194,40 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-42.14 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-42.14: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-42.14?||DWDM-GBIC-42.14 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-42.14 eingesetzt?||DWDM-GBIC-42.14 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-42.14 mit Strom versorgt?||DWDM-GBIC-42.14 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-42.94,FAQ,"Welche Datenrate überträgt DWDM-GBIC-42.94?||DWDM-GBIC-42.94 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-42.94?||DWDM-GBIC-42.94 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-42.94?||DWDM-GBIC-42.94 überbrückt 80 km bei 1542,94 nm (≈194,30 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-42.94 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-42.94: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-42.94?||DWDM-GBIC-42.94 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-42.94 eingesetzt?||DWDM-GBIC-42.94 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-42.94 mit Strom versorgt?||DWDM-GBIC-42.94 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-43.73,FAQ,"Welche Datenrate überträgt DWDM-GBIC-43.73?||DWDM-GBIC-43.73 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-43.73?||DWDM-GBIC-43.73 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-43.73?||DWDM-GBIC-43.73 überbrückt 80 km bei 1543,73 nm (≈194,20 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-43.73 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-43.73: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-43.73?||DWDM-GBIC-43.73 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-43.73 eingesetzt?||DWDM-GBIC-43.73 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-43.73 mit Strom versorgt?||DWDM-GBIC-43.73 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-44.53,FAQ,"Welche Datenrate überträgt DWDM-GBIC-44.53?||DWDM-GBIC-44.53 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-44.53?||DWDM-GBIC-44.53 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-44.53?||DWDM-GBIC-44.53 überbrückt 80 km bei 1544,53 nm (≈194,10 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-44.53 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-44.53: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-44.53?||DWDM-GBIC-44.53 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-44.53 eingesetzt?||DWDM-GBIC-44.53 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-44.53 mit Strom versorgt?||DWDM-GBIC-44.53 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-46.12,FAQ,"Welche Datenrate überträgt DWDM-GBIC-46.12?||DWDM-GBIC-46.12 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-46.12?||DWDM-GBIC-46.12 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-46.12?||DWDM-GBIC-46.12 überbrückt 80 km bei 1546,12 nm (≈193,90 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-46.12 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-46.12: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-46.12?||DWDM-GBIC-46.12 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-46.12 eingesetzt?||DWDM-GBIC-46.12 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-46.12 mit Strom versorgt?||DWDM-GBIC-46.12 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-46.92,FAQ,"Welche Datenrate überträgt DWDM-GBIC-46.92?||DWDM-GBIC-46.92 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-46.92?||DWDM-GBIC-46.92 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-46.92?||DWDM-GBIC-46.92 überbrückt 80 km bei 1546,92 nm (≈193,80 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-46.92 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-46.92: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-46.92?||DWDM-GBIC-46.92 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-46.92 eingesetzt?||DWDM-GBIC-46.92 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-46.92 mit Strom versorgt?||DWDM-GBIC-46.92 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-47.72,FAQ,"Welche Datenrate überträgt DWDM-GBIC-47.72?||DWDM-GBIC-47.72 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-47.72?||DWDM-GBIC-47.72 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-47.72?||DWDM-GBIC-47.72 überbrückt 80 km bei 1547,72 nm (≈193,70 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-47.72 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-47.72: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-47.72?||DWDM-GBIC-47.72 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-47.72 eingesetzt?||DWDM-GBIC-47.72 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-47.72 mit Strom versorgt?||DWDM-GBIC-47.72 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-48.51,FAQ,"Welche Datenrate überträgt DWDM-GBIC-48.51?||DWDM-GBIC-48.51 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-48.51?||DWDM-GBIC-48.51 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-48.51?||DWDM-GBIC-48.51 überbrückt 80 km bei 1548,51 nm (≈193,60 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-48.51 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-48.51: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-48.51?||DWDM-GBIC-48.51 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-48.51 eingesetzt?||DWDM-GBIC-48.51 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-48.51 mit Strom versorgt?||DWDM-GBIC-48.51 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-50.12,FAQ,"Welche Datenrate überträgt DWDM-GBIC-50.12?||DWDM-GBIC-50.12 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-50.12?||DWDM-GBIC-50.12 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-50.12?||DWDM-GBIC-50.12 überbrückt 80 km bei 1550,12 nm (≈193,40 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-50.12 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-50.12: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-50.12?||DWDM-GBIC-50.12 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-50.12 eingesetzt?||DWDM-GBIC-50.12 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-50.12 mit Strom versorgt?||DWDM-GBIC-50.12 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-50.92,FAQ,"Welche Datenrate überträgt DWDM-GBIC-50.92?||DWDM-GBIC-50.92 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-50.92?||DWDM-GBIC-50.92 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-50.92?||DWDM-GBIC-50.92 überbrückt 80 km bei 1550,92 nm (≈193,30 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-50.92 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-50.92: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-50.92?||DWDM-GBIC-50.92 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-50.92 eingesetzt?||DWDM-GBIC-50.92 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-50.92 mit Strom versorgt?||DWDM-GBIC-50.92 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-51.72,FAQ,"Welche Datenrate überträgt DWDM-GBIC-51.72?||DWDM-GBIC-51.72 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-51.72?||DWDM-GBIC-51.72 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-51.72?||DWDM-GBIC-51.72 überbrückt 80 km bei 1551,72 nm (≈193,20 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-51.72 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-51.72: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-51.72?||DWDM-GBIC-51.72 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-51.72 eingesetzt?||DWDM-GBIC-51.72 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-51.72 mit Strom versorgt?||DWDM-GBIC-51.72 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-52.52,FAQ,"Welche Datenrate überträgt DWDM-GBIC-52.52?||DWDM-GBIC-52.52 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-52.52?||DWDM-GBIC-52.52 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-52.52?||DWDM-GBIC-52.52 überbrückt 80 km bei 1552,52 nm (≈193,10 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-52.52 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-52.52: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-52.52?||DWDM-GBIC-52.52 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-52.52 eingesetzt?||DWDM-GBIC-52.52 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-52.52 mit Strom versorgt?||DWDM-GBIC-52.52 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-54.13,FAQ,"Welche Datenrate überträgt DWDM-GBIC-54.13?||DWDM-GBIC-54.13 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-54.13?||DWDM-GBIC-54.13 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-54.13?||DWDM-GBIC-54.13 überbrückt 80 km bei 1554,13 nm (≈192,90 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-54.13 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-54.13: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-54.13?||DWDM-GBIC-54.13 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-54.13 eingesetzt?||DWDM-GBIC-54.13 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-54.13 mit Strom versorgt?||DWDM-GBIC-54.13 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
DWDM-GBIC-54.94,FAQ,"Welche Datenrate überträgt DWDM-GBIC-54.94?||DWDM-GBIC-54.94 überträgt 1,25 Gbit/s (1 Gigabit Ethernet) gemäß 1000BASE-DWDM (ITU 100-GHz-Raster).##Welchen Formfaktor und Anschluss hat DWDM-GBIC-54.94?||DWDM-GBIC-54.94 ist im Formfaktor GBIC ausgeführt mit Anschluss Duplex SC.##Welche Reichweite erzielt DWDM-GBIC-54.94?||DWDM-GBIC-54.94 überbrückt 80 km bei 1554,94 nm (≈192,80 THz, ITU 100-GHz-Raster).##Unterstützt DWDM-GBIC-54.94 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei DWDM-GBIC-54.94: Nein.##In welchem Temperaturbereich arbeitet DWDM-GBIC-54.94?||DWDM-GBIC-54.94 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird DWDM-GBIC-54.94 eingesetzt?||DWDM-GBIC-54.94 ist ausgelegt für Carrier-/Transportnetz (DWDM / kohärent).##Wie wird DWDM-GBIC-54.94 mit Strom versorgt?||DWDM-GBIC-54.94 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
